# Derivatives solution step at time 0 performed in 0 iterations with 0 error
# Key for lines starting with "Step":
# Step Time TStep NIter ResErr SolErr SolConv Out
Step 0 0 0 0 0 0 0 1
Step 1 0.005 0.005 0 0 0 0 1
Info: 0, success BALANC="P" ILO=7 IHI=342 ABNRM=5.87495e+08 BBNRM=5.87847e+08
Mode n.       Real           Imag             Damp %     Freq Hz
     231: -5.85305e+06 +     -50279.9 j         99.9963        -8002.29
     232:      -6680.3 +            0 j             100               0
     233:     -6680.26 +            0 j             100               0
     234:     -6680.57 +            0 j             100               0
     235:     -6680.57 +            0 j             100               0
     236:     -6679.59 +            0 j             100               0
     237:     -6679.67 +            0 j             100               0
     238:     -6679.14 +            0 j             100               0
     239:      -6679.7 +            0 j             100               0
     240:     -6678.72 +            0 j             100               0
     241:      -6678.1 +            0 j             100               0
     242:     -6677.87 +            0 j             100               0
     243:     -6678.65 +            0 j             100               0
     244:     -6678.65 +            0 j             100               0
     245:     -6678.49 +            0 j             100               0
     246:     -6677.32 +            0 j             100               0
     247:     -6677.13 +            0 j             100               0
     248:     -6676.91 +            0 j             100               0
     249:     -6676.69 +            0 j             100               0
     250:     -6678.74 +            0 j             100               0
     251:     -6678.48 +            0 j             100               0
     252:     -6676.39 +            0 j             100               0
     253:      -6676.1 +            0 j             100               0
     254:     -6676.28 +            0 j             100               0
     255:     -6675.81 +            0 j             100               0
     256:     -6675.66 +            0 j             100               0
     257:     -6675.53 +            0 j             100               0
     258:     -6674.74 +            0 j             100               0
     259:     -6678.49 +            0 j             100               0
     260:     -6674.32 +            0 j             100               0
     261:     -6674.39 +            0 j             100               0
     262:     -6672.53 +            0 j             100               0
     263:     -6672.57 +            0 j             100               0
     264: -6.11168e+06 +            0 j             100               0
     265: -6.14333e+06 +            0 j             100               0
     266: -7.53868e+06 +            0 j             100               0
     267: -7.58151e+06 +            0 j             100               0
     268: -7.53665e+06 +            0 j             100               0
     269: -6.17268e+06 +            0 j             100               0
     270:  -7.5177e+06 +            0 j             100               0
     271: -7.45584e+06 +            0 j             100               0
     272: -7.33468e+06 +       122363 j         99.9861         19474.6
     273: -7.33468e+06 +      -122363 j         99.9861        -19474.6
     274: -6.85516e+06 +       302227 j          99.903         48100.9
     275: -6.85516e+06 +      -302227 j          99.903        -48100.9
     276: -6.26737e+06 +            0 j             100               0
     277: -7.46208e+06 +            0 j             100               0
     278: -7.33514e+06 +            0 j             100               0
     279:  -6.3026e+06 +            0 j             100               0
     280:  -6.1654e+06 +            0 j             100               0
     281: -6.53617e+06 +      56628.7 j         99.9962         9012.73
     282: -6.53617e+06 +     -56628.7 j         99.9962        -9012.73
     283: -7.25833e+06 +            0 j             100               0
     284: -7.22622e+06 +            0 j             100               0
     285: -6.37011e+06 +            0 j             100               0
     286: -6.37173e+06 +            0 j             100               0
     287: -6.39479e+06 +            0 j             100               0
     288: -6.63087e+06 +            0 j             100               0
     289: -6.83612e+06 +       124843 j         99.9833         19869.4
     290: -6.83612e+06 +      -124843 j         99.9833        -19869.4
     291: -6.45466e+06 +            0 j             100               0
     292: -6.73584e+06 +            0 j             100               0
     293:  -6.9989e+06 +            0 j             100               0
     294: -7.14096e+06 +            0 j             100               0
     295: -7.05205e+06 +            0 j             100               0
     296:  -7.0578e+06 +            0 j             100               0
     297:  -6.7605e+06 +            0 j             100               0
     298:  -6.3741e+06 +            0 j             100               0
     299: -6.88365e+06 +            0 j             100               0
     300:     -6673.94 +            0 j             100               0
     301: -7.14697e+06 +            0 j             100               0
     302:     -6673.88 +            0 j             100               0
     303:     -6672.53 +            0 j             100               0
     304:     -6672.58 +            0 j             100               0
     305:     -6672.57 +            0 j             100               0
     306:     -6672.64 +            0 j             100               0
     307:     -6673.84 +            0 j             100               0
     308:     -6673.75 +            0 j             100               0
     309: -7.00487e+06 +            0 j             100               0
     310: -6.92812e+06 +            0 j             100               0
     311: -7.08539e+06 +            0 j             100               0
     312:     -6673.77 +            0 j             100               0
     313:     -6673.69 +            0 j             100               0
     314:      -6672.6 +            0 j             100               0
     315:     -6673.78 +            0 j             100               0
     316:     -6672.84 +            0 j             100               0
     317:     -6672.73 +            0 j             100               0
     318:     -6672.74 +            0 j             100               0
     319:     -6672.77 +            0 j             100               0
     320:     -6672.77 +            0 j             100               0
     321:     -6672.89 +            0 j             100               0
     322:     -6673.74 +            0 j             100               0
     323:     -6673.23 +            0 j             100               0
     324:     -6672.89 +            0 j             100               0
     325:     -6673.11 +            0 j             100               0
     326:     -6673.15 +            0 j             100               0
     327:     -6672.93 +            0 j             100               0
     328:     -6672.99 +            0 j             100               0
     329:     -6673.39 +            0 j             100               0
     330:     -6673.29 +            0 j             100               0
     331:     -6673.83 +            0 j             100               0
     332:     -6673.55 +            0 j             100               0
     333:      -6673.6 +            0 j             100               0
     334:     -6673.55 +            0 j             100               0
     335:     -6673.29 +            0 j             100               0
     336:     -6673.29 +            0 j             100               0
     337:      -6673.6 +            0 j             100               0
     338:     -6673.28 +            0 j             100               0
     339:     -6673.14 +            0 j             100               0
     340:        -6673 +            0 j             100               0
     341:     -6672.94 +            0 j             100               0
     342:     -6672.93 +            0 j             100               0
Step 2 0.01 0.005 0 1.03999e-08 0 0 1
Step 3 0.015 0.005 0 1.55009e-08 0 0 1
Step 4 0.02 0.005 0 7.76206e-08 0 0 1
Step 5 0.025 0.005 0 2.17971e-07 0 0 1
Step 6 0.03 0.005 0 5.05631e-07 0 0 1
Step 7 0.035 0.005 0 9.69465e-07 0 0 1
Step 8 0.04 0.005 0 1.60966e-06 0 0 1
Step 9 0.045 0.005 0 2.41654e-06 0 0 1
Step 10 0.05 0.005 0 3.41257e-06 0 0 1
Step 11 0.055 0.005 0 4.63947e-06 0 0 1
Step 12 0.06 0.005 0 6.10553e-06 0 0 1
Step 13 0.065 0.005 0 7.85349e-06 0 0 1
Step 14 0.07 0.005 0 9.95081e-06 0 0 1
Step 15 0.075 0.005 0 1.24493e-05 0 0 1
Step 16 0.08 0.005 0 1.53717e-05 0 0 1
Step 17 0.085 0.005 0 1.88103e-05 0 0 1
Step 18 0.09 0.005 0 2.27896e-05 0 0 1
Step 19 0.095 0.005 0 2.73467e-05 0 0 1
Step 20 0.1 0.005 0 3.24594e-05 0 0 1
Step 21 0.105 0.005 0 3.81452e-05 0 0 1
Step 22 0.11 0.005 0 4.44004e-05 0 0 1
Step 23 0.115 0.005 0 5.12164e-05 0 0 1
Step 24 0.12 0.005 0 5.86714e-05 0 0 1
Step 25 0.125 0.005 0 6.67574e-05 0 0 1
Step 26 0.13 0.005 0 7.55032e-05 0 0 1
Step 27 0.135 0.005 0 8.48905e-05 0 0 1
Step 28 0.14 0.005 0 9.49401e-05 0 0 1
Step 29 0.145 0.005 1 3.54425e-08 0 0 1
Step 30 0.15 0.005 1 3.48596e-08 0 0 1
Step 31 0.155 0.005 1 4.39707e-08 0 0 1
Step 32 0.16 0.005 1 4.08665e-08 0 0 1
Step 33 0.165 0.005 0 4.69324e-05 0 0 1
Step 34 0.17 0.005 1 3.64528e-08 0 0 1
Step 35 0.175 0.005 1 5.58301e-08 0 0 1
Step 36 0.18 0.005 1 5.39813e-08 0 0 1
Step 37 0.185 0.005 0 7.73394e-05 0 0 1
Step 38 0.19 0.005 1 4.05908e-08 0 0 1
Step 39 0.195 0.005 1 4.55585e-08 0 0 1
Step 40 0.2 0.005 1 3.89042e-08 0 0 1
Step 41 0.205 0.005 1 6.59475e-08 0 0 1
Step 42 0.21 0.005 0 5.2328e-05 0 0 1
Step 43 0.215 0.005 1 5.34427e-08 0 0 1
Step 44 0.22 0.005 1 2.99292e-08 0 0 1
Step 45 0.225 0.005 1 3.57814e-08 0 0 1
Step 46 0.23 0.005 0 8.64987e-05 0 0 1
Step 47 0.235 0.005 1 4.98899e-08 0 0 1
Step 48 0.24 0.005 1 5.49398e-08 0 0 1
Step 49 0.245 0.005 1 5.10446e-08 0 0 1
Step 50 0.25 0.005 1 4.89918e-08 0 0 1
Step 51 0.255 0.005 0 5.78516e-05 0 0 1
Step 52 0.26 0.005 1 2.89867e-08 0 0 1
Step 53 0.265 0.005 1 6.40542e-08 0 0 1
Step 54 0.27 0.005 1 5.43926e-08 0 0 1
Step 55 0.275 0.005 0 9.45983e-05 0 0 1
Step 56 0.28 0.005 1 3.55504e-08 0 0 1
Step 57 0.285 0.005 1 4.37153e-08 0 0 1
Step 58 0.29 0.005 1 6.06558e-08 0 0 1
Step 59 0.295 0.005 1 3.50296e-08 0 0 1
Step 60 0.3 0.005 0 6.11016e-05 0 0 1
Step 61 0.305 0.005 1 6.98671e-08 0 0 1
Step 62 0.31 0.005 1 6.05512e-08 0 0 1
Step 63 0.315 0.005 1 2.50213e-08 0 0 1
